mineral.name,para.mode.label,para.mode.category
Batisivite,3,3
Chromceladonite,3,3
Chromium-dravite,39,3
Chromo-alumino-povondraite,3,3
Chromphyllite,3,3
Cochromite,3,3
Cuprokalininite,3,3
Eskolaite,31,3
Manganochromite,"3, 93",3
Florensovite,3,3
Guyanaite,31,3
Hawthorneite,39,3
Kalininite,31,3
Lindsleyite,39,3
Mariinskite,3,3
Olkhonskite,3,3
Oxy-chromium-dravite,3,3
Polyakovite-(Ce),3,3
Uvarovite,"31,5,71",3
Vanadio-oxy-chromium-dravite,39,3
Yimengite,39,3
Zincochromite,39,3
Bentorite,52,5
Chromferide,53,5
Crichtonite,53,5
Dessauite-(Y),52,5
Ferchromide,53,5
Grimaldiite,51,5
Mapiquiroite,"52,53",5
Mcconnellite,58,5
Redledgeite,56,5
Chrombismite,11,1
Chromite,"1,2,93",1
Chromium,"11,31,61",1
Davidite-(Ce),16,1
Davidite-(La),16,1
Knorringite,11,1
Kosmochlor,"18,93",1
Loveringite,12,1
Magnesiochromite,"11,12",1
Mathiasite,"11,39",1
Senaite,"14,15,16",1
Shuiskite,"11,7",1
Tongbaite,11,1
Warwickite,"17,31",1
Bracewellite,61,6
Carmichaelite,62,6
Chromatite,63,6
Dietzeite,63,6
George-ericksenite,63,6
Hashemite,63,6
Iquiqueite,63,6
Isovite,61,6
Lopezite,63,6
Putnisite,62,6
Tarapacaite,63,6
Volkonskoite,"62,65,71,86",6
Yedlinite,63,6
Cassedanneite,72,7
Chromio-pargasite,71,7
Chromschieffelinite,72,7
Crocoite,72,7
Deanesmithite,72,7
Dukeite,72,7
Edoylerite,71,7
Embreyite,72,7
Fornacite,72,7
Georgerobinsonite,72,7
Hemihedrite,72,7
Iranite,72,7
Macquartite,72,7
Petterdite,72,7
Phoenicochroite,72,7
Redingtonite,72,7
Reynoldsite,72,7
Santanaite,72,7
Stichtite,71,7
Vauquelinite,72,7
Wattersite,71,7
Woodallite,71,7
Yarlongite,71,7
Rilandite,86,8
Cronusite,94,9